#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
CAT	distilled water	1843587	-100000961	9606.ENSP00000241052	-1.CID100000961	0	0	0	0	0	0.690	0.900	0	0	0.968
SOD1	acetate	1846132	-100000175	9606.ENSP00000270142	-1.CID100000175	0	0	0	0	0	0.847	0.800	0	0	0.968
CAT	oxygen	1843587	-100000977	9606.ENSP00000241052	-1.CID100000977	0	0	0	0	0	0.690	0.900	0	0	0.968
DKK1	CTNNB1	1856024	1852818	9606.ENSP00000363081	9606.ENSP00000344456	0	0	0	0	0	0.685	0.900	0	0	0.967
PAH	norepinephrine	1862478	-100000951	9606.ENSP00000448059	-1.CID100000951	0	0	0	0	0	0.800	0.800	0	0	0.958
PAH	phenylalanine	1862478	-100000994	9606.ENSP00000448059	-1.CID100000994	0	0	0	0	0	0.601	0.900	0	0	0.958
TAT	glutamic acid	1853275	-100000611	9606.ENSP00000348234	-1.CID100000611	0	0	0	0	0	0.568	0.900	0	0	0.955
TCF7L2	LEF1	1862284	1845704	9606.ENSP00000444972	9606.ENSP00000265165	0	0	0	0.945	0	0.571	0.900	0	0	0.955
TCF4	LEF1	1853052	1845704	9606.ENSP00000346440	9606.ENSP00000265165	0	0	0	0	0	0.569	0.900	0	0	0.955
PTGS2	paracetamol	1854602	-100001983	9606.ENSP00000356438	-1.CID100001983	0	0	0	0	0	0.547	0.900	0	0	0.953
CYP4F3	oxygen	1842824	-100000977	9606.ENSP00000221307	-1.CID100000977	0	0	0	0	0	0.457	0.900	0	0	0.944
CYP27A1	oxygen	1844601	-100000977	9606.ENSP00000258415	-1.CID100000977	0	0	0	0	0	0.457	0.900	0	0	0.944
MYL6B	calcium ions	1842446	-100000271	9606.ENSP00000207437	-1.CID100000271	0	0	0	0	0	0.366	0.900	0	0	0.934
PROC	oxygen	1843382	-100000977	9606.ENSP00000234071	-1.CID100000977	0	0	0	0	0	0.345	0.900	0	0	0.932
quinol	distilled water	-100000785	-100000961	-1.CID100000785	-1.CID100000961	0	0	0	0	0	0.292	0.900	0	0	0.927
CBS	sodium	1852819	-100000923	9606.ENSP00000344460	-1.CID100000923	0	0	0	0	0	0.926	0	0	0	0.926
dopamine	norepinephrine	-100000681	-100000951	-1.CID100000681	-1.CID100000951	0	0	0	0.811	0	0.238	0.900	0	0	0.921
dopamine	tyramine	-100000681	-100005610	-1.CID100000681	-1.CID100005610	0	0	0	0.837	0	0.238	0.900	0	0	0.921
PTGS2	sodium	1854602	-100000923	9606.ENSP00000356438	-1.CID100000923	0	0	0	0	0	0.611	0.800	0	0	0.919
TH	phenylalanine	1857346	-100000994	9606.ENSP00000370571	-1.CID100000994	0	0	0	0	0	0.601	0.800	0	0	0.917
copper	ascorbate	-100011009	-111020241	-1.CID100011009	-1.CID111020241	0	0	0	0	0	0.163	0.900	0	0	0.914
TCF7L2	APC	1862284	1844508	9606.ENSP00000444972	9606.ENSP00000257430	0	0	0	0	0	0.182	0.900	0	0	0.914
LEF1	APC	1845704	1844508	9606.ENSP00000265165	9606.ENSP00000257430	0	0	0	0	0	0.150	0.900	0	0	0.911
CDH2	AXIN1	1846066	1845118	9606.ENSP00000269141	9606.ENSP00000262320	0	0	0	0	0	0.102	0.900	0	0	0.906
TCF7L2	TCF4	1862284	1853052	9606.ENSP00000444972	9606.ENSP00000346440	0	0	0	0	0	0.070	0.900	0	0	0.903
TAT	tyrosine	1853275	-100001153	9606.ENSP00000348234	-1.CID100001153	0	0	0	0	0	0	0.900	0	0	0.900
aspartate	hydrogen	-100000424	-100000783	-1.CID100000424	-1.CID100000783	0	0	0	0	0	0	0.900	0	0	0.900
phenylalanine	manganese	-100000994	-100023930	-1.CID100000994	-1.CID100023930	0	0	0	0	0	0	0.900	0	0	0.900
asparagine	histidine	-100000236	-100000773	-1.CID100000236	-1.CID100000773	0	0	0	0	0	0	0.900	0	0	0.900
carbon dioxide	reduced glutat.	-100000280	-100000745	-1.CID100000280	-1.CID100000745	0	0	0	0	0	0	0.900	0	0	0.900
HPD	tyrosine	1847151	-100001153	9606.ENSP00000289004	-1.CID100001153	0	0	0	0	0	0	0.900	0	0	0.900
tryptophan	serotonine	-100001148	-100005202	-1.CID100001148	-1.CID100005202	0	0	0	0.587	0	0	0.900	0	0	0.900
INS	hydrogen	1844030	-100000783	9606.ENSP00000250971	-1.CID100000783	0	0	0	0	0	0	0.900	0	0	0.900
phenol	paracetamol	-100000996	-100001983	-1.CID100000996	-1.CID100001983	0	0	0	0	0	0	0.900	0	0	0.900
aspartate	tryptophan	-100000424	-100001148	-1.CID100000424	-1.CID100001148	0	0	0	0	0	0	0.900	0	0	0.900
glutamic acid	histidine	-100000611	-100000773	-1.CID100000611	-1.CID100000773	0	0	0	0	0	0	0.900	0	0	0.900
norepinephrine	quinine	-100000951	-100001065	-1.CID100000951	-1.CID100001065	0	0	0	0	0	0	0.900	0	0	0.900
histidine	sodium	-100000773	-100000923	-1.CID100000773	-1.CID100000923	0	0	0	0	0	0	0.900	0	0	0.900
tyrosine	tyramine	-100001153	-100005610	-1.CID100001153	-1.CID100005610	0	0	0	0.590	0	0	0.900	0	0	0.900
lipoic acid	distilled water	-100000864	-100000961	-1.CID100000864	-1.CID100000961	0	0	0	0	0	0	0.900	0	0	0.900
PTGS2	distilled water	1854602	-100000961	9606.ENSP00000356438	-1.CID100000961	0	0	0	0	0	0	0.900	0	0	0.900
EGFR	hydrogen	1846445	-100000783	9606.ENSP00000275493	-1.CID100000783	0	0	0	0	0	0	0.900	0	0	0.900
levodopa	ascorbate	-100000836	-111020241	-1.CID100000836	-1.CID111020241	0	0	0	0	0	0	0.900	0	0	0.900
oxygen	paracetamol	-100000977	-100001983	-1.CID100000977	-1.CID100001983	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen	serotonine	-100000783	-100005202	-1.CID100000783	-1.CID100005202	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen perox.	nitric oxide	-100000784	-100145068	-1.CID100000784	-1.CID100145068	0	0	0	0	0	0	0.900	0	0	0.900
HPD	carbon dioxide	1847151	-100000280	9606.ENSP00000289004	-1.CID100000280	0	0	0	0	0	0	0.900	0	0	0.900
sodium	phenylalanine	-100000923	-100000994	-1.CID100000923	-1.CID100000994	0	0	0	0	0	0	0.900	0	0	0.900
glutamic acid	oxygen	-100000611	-100000977	-1.CID100000611	-1.CID100000977	0	0	0	0	0	0	0.900	0	0	0.900
oxygen	resorcinol	-100000977	-100005054	-1.CID100000977	-1.CID100005054	0	0	0	0	0	0	0.900	0	0	0.900
oxygen	ascorbate	-100000977	-111020241	-1.CID100000977	-1.CID111020241	0	0	0	0	0	0	0.900	0	0	0.900
glutamic acid	hydrogen perox.	-100000611	-100000784	-1.CID100000611	-1.CID100000784	0	0	0	0	0	0	0.900	0	0	0.900
TYR	distilled water	1845331	-100000961	9606.ENSP00000263321	-1.CID100000961	0	0	0	0	0	0	0.900	0	0	0.900
distilled water	selenium	-100000961	-106326970	-1.CID100000961	-1.CID106326970	0	0	0	0	0	0	0.900	0	0	0.900
calcium ions	oxygen	-100000271	-100000977	-1.CID100000271	-1.CID100000977	0	0	0	0	0	0	0.900	0	0	0.900
TAT	tetrahydro.in .	1853275	-100001125	9606.ENSP00000348234	-1.CID100001125	0	0	0	0	0	0	0.900	0	0	0.900
maleylacetoace.	hydrogen	-100000122	-100000783	-1.CID100000122	-1.CID100000783	0	0	0	0	0	0	0.900	0	0	0.900
maleylacetoace.	distilled water	-100000122	-100000961	-1.CID100000122	-1.CID100000961	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen	homovanillic a.	-100000783	-100001738	-1.CID100000783	-1.CID100001738	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen	uric acid	-100000783	-100001175	-1.CID100000783	-1.CID100001175	0	0	0	0	0	0	0.900	0	0	0.900
taurine	ascorbate	-100001123	-111020241	-1.CID100001123	-1.CID111020241	0	0	0	0	0	0	0.900	0	0	0.900
oxygen	tyrosine	-100000977	-100001153	-1.CID100000977	-1.CID100001153	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen	hydroxyl radic.	-100000783	-100157350	-1.CID100000783	-1.CID100157350	0	0	0	0.999	0	0	0.900	0	0	0.900
tetrahydro.in .	ascorbate	-100001125	-111020241	-1.CID100001125	-1.CID111020241	0	0	0	0	0	0	0.900	0	0	0.900
GSTZ1	homogentisic a.	1842600	-100000780	9606.ENSP00000216465	-1.CID100000780	0	0	0	0	0	0	0.900	0	0	0.900
acetate	norepinephrine	-100000175	-100000951	-1.CID100000175	-1.CID100000951	0	0	0	0	0	0	0.900	0	0	0.900
distilled water	purine ring	-100000961	-100001044	-1.CID100000961	-1.CID100001044	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen perox.	uric acid	-100000784	-100001175	-1.CID100000784	-1.CID100001175	0	0	0	0	0	0	0.900	0	0	0.900
distilled water	glycogen	-100000961	-100439177	-1.CID100000961	-1.CID100439177	0	0	0	0	0	0	0.900	0	0	0.900
distilled water	serotonine	-100000961	-100005202	-1.CID100000961	-1.CID100005202	0	0	0	0	0	0	0.900	0	0	0.900
acetate	oxygen	-100000175	-100000977	-1.CID100000175	-1.CID100000977	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen	paracetamol	-100000783	-100001983	-1.CID100000783	-1.CID100001983	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen perox.	tyrosine	-100000784	-100001153	-1.CID100000784	-1.CID100001153	0	0	0	0	0	0	0.900	0	0	0.900
reduced glutat.	hydrogen perox.	-100000745	-100000784	-1.CID100000745	-1.CID100000784	0	0	0	0	0	0	0.900	0	0	0.900
dopamine	distilled water	-100000681	-100000961	-1.CID100000681	-1.CID100000961	0	0	0	0	0	0	0.900	0	0	0.900
distilled water	resorcinol	-100000961	-100005054	-1.CID100000961	-1.CID100005054	0	0	0	0	0	0	0.900	0	0	0.900
tetrahydro.in .	nitric oxide	-100001125	-100145068	-1.CID100001125	-1.CID100145068	0	0	0	0	0	0	0.900	0	0	0.900
glutamic acid	tryptophan	-100000611	-100001148	-1.CID100000611	-1.CID100001148	0	0	0	0	0	0	0.900	0	0	0.900
copper	glycogen	-100011009	-100439177	-1.CID100011009	-1.CID100439177	0	0	0	0	0	0	0.900	0	0	0.900
TNFRSF11B	zoledronic acid	1847859	-100068740	9606.ENSP00000297350	-1.CID100068740	0	0	0	0	0	0	0.900	0	0	0.900
CRP	methotrexate	1844348	-100004112	9606.ENSP00000255030	-1.CID100004112	0	0	0	0	0	0	0.900	0	0	0.900
phenylalanine	phenylpyruvate	-100000994	-100000997	-1.CID100000994	-1.CID100000997	0	0	0	0.781	0	0	0.900	0	0	0.900
dopamine	ascorbate	-100000681	-111020241	-1.CID100000681	-1.CID111020241	0	0	0	0	0	0	0.900	0	0	0.900
acetate	quinol	-100000175	-100000785	-1.CID100000175	-1.CID100000785	0	0	0	0	0	0	0.900	0	0	0.900
acetate	selenium	-100000175	-106326970	-1.CID100000175	-1.CID106326970	0	0	0	0	0	0	0.900	0	0	0.900
N-acetylcystei.	hydrogen	-100000581	-100000783	-1.CID100000581	-1.CID100000783	0	0	0	0	0	0	0.900	0	0	0.900
carbon dioxide	sodium	-100000280	-100000923	-1.CID100000280	-1.CID100000923	0	0	0	0	0	0	0.900	0	0	0.900
bile acids	taurine	-100000303	-100001123	-1.CID100000303	-1.CID100001123	0	0	0	0	0	0	0.900	0	0	0.900
acetate	serotonine	-100000175	-100005202	-1.CID100000175	-1.CID100005202	0	0	0	0	0	0	0.900	0	0	0.900
aspartate	reduced glutat.	-100000424	-100000745	-1.CID100000424	-1.CID100000745	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen	selenium	-100000783	-106326970	-1.CID100000783	-1.CID106326970	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen	tetrahydro.in .	-100000783	-100001125	-1.CID100000783	-1.CID100001125	0	0	0	0	0	0	0.900	0	0	0.900
acetate	copper	-100000175	-100011009	-1.CID100000175	-1.CID100011009	0	0	0	0	0	0	0.900	0	0	0.900
levodopa	oxygen	-100000836	-100000977	-1.CID100000836	-1.CID100000977	0	0	0	0	0	0	0.900	0	0	0.900
GSTZ1	oxygen	1842600	-100000977	9606.ENSP00000216465	-1.CID100000977	0	0	0	0	0	0	0.900	0	0	0.900
aspartate	hydrogen perox.	-100000424	-100000784	-1.CID100000424	-1.CID100000784	0	0	0	0	0	0	0.900	0	0	0.900
calcium ions	norepinephrine	-100000271	-100000951	-1.CID100000271	-1.CID100000951	0	0	0	0	0	0	0.900	0	0	0.900
N-acetylcystei.	distilled water	-100000581	-100000961	-1.CID100000581	-1.CID100000961	0	0	0	0	0	0	0.900	0	0	0.900
HPD	homogentisic a.	1847151	-100000780	9606.ENSP00000289004	-1.CID100000780	0	0	0	0	0	0	0.900	0	0	0.900
tryptophan	tyrosine	-100001148	-100001153	-1.CID100001148	-1.CID100001153	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen perox.	ascorbate	-100000784	-111020241	-1.CID100000784	-1.CID111020241	0	0	0	0	0	0	0.900	0	0	0.900
calcium ions	manganese	-100000271	-100023930	-1.CID100000271	-1.CID100023930	0	0	0	0	0	0	0.900	0	0	0.900
IL6	carbon dioxide	1844631	-100000280	9606.ENSP00000258743	-1.CID100000280	0	0	0	0	0	0	0.900	0	0	0.900
maleylacetoace.	homogentisic a.	-100000122	-100000780	-1.CID100000122	-1.CID100000780	0	0	0	0	0	0	0.900	0	0	0.900
dopamine	quinine	-100000681	-100001065	-1.CID100000681	-1.CID100001065	0	0	0	0	0	0	0.900	0	0	0.900
carbon dioxide	nitric oxide	-100000280	-100145068	-1.CID100000280	-1.CID100145068	0	0	0	0	0	0	0.900	0	0	0.900
CAT	uric acid	1843587	-100001175	9606.ENSP00000241052	-1.CID100001175	0	0	0	0	0	0	0.900	0	0	0.900
acetate	carbon dioxide	-100000175	-100000280	-1.CID100000175	-1.CID100000280	0	0	0	0	0	0	0.900	0	0	0.900
bile acids	sodium	-100000303	-100000923	-1.CID100000303	-1.CID100000923	0	0	0	0	0	0	0.900	0	0	0.900
carbon dioxide	oxygen	-100000280	-100000977	-1.CID100000280	-1.CID100000977	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen	distilled water	-100000783	-100000961	-1.CID100000783	-1.CID100000961	0	0	0	0.999	0	0	0.900	0	0	0.900
ferulic acid	distilled water	-100000709	-100000961	-1.CID100000709	-1.CID100000961	0	0	0	0	0	0	0.900	0	0	0.900
reduced glutat.	norepinephrine	-100000745	-100000951	-1.CID100000745	-1.CID100000951	0	0	0	0	0	0	0.900	0	0	0.900
acetate	hydrogen perox.	-100000175	-100000784	-1.CID100000175	-1.CID100000784	0	0	0	0	0	0	0.900	0	0	0.900
sodium	tryptophan	-100000923	-100001148	-1.CID100000923	-1.CID100001148	0	0	0	0	0	0	0.900	0	0	0.900
glutamic acid	tetrahydro.in .	-100000611	-100001125	-1.CID100000611	-1.CID100001125	0	0	0	0	0	0	0.900	0	0	0.900
oxygen	tyramine	-100000977	-100005610	-1.CID100000977	-1.CID100005610	0	0	0	0	0	0	0.900	0	0	0.900
oxygen	phenylalanine	-100000977	-100000994	-1.CID100000977	-1.CID100000994	0	0	0	0	0	0	0.900	0	0	0.900
oxygen	nitric oxide	-100000977	-100145068	-1.CID100000977	-1.CID100145068	0	0	0	0.999	0	0	0.900	0	0	0.900
carbon dioxide	ascorbate	-100000280	-111020241	-1.CID100000280	-1.CID111020241	0	0	0	0	0	0	0.900	0	0	0.900
distilled water	isovalerate	-100000961	-100010430	-1.CID100000961	-1.CID100010430	0	0	0	0	0	0	0.900	0	0	0.900
ALB	sodium	1847637	-100000923	9606.ENSP00000295897	-1.CID100000923	0	0	0	0	0	0	0.900	0	0	0.900
aspartate	nitric oxide	-100000424	-100145068	-1.CID100000424	-1.CID100145068	0	0	0	0	0	0	0.900	0	0	0.900
SOD1	distilled water	1846132	-100000961	9606.ENSP00000270142	-1.CID100000961	0	0	0	0	0	0	0.900	0	0	0.900
quinine	serotonine	-100001065	-100005202	-1.CID100001065	-1.CID100005202	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen	vitamin E	-100000783	-100002116	-1.CID100000783	-1.CID100002116	0	0	0	0	0	0	0.900	0	0	0.900
cholesterol	oxygen	-100000304	-100000977	-1.CID100000304	-1.CID100000977	0	0	0	0	0	0	0.900	0	0	0.900
homogentisic a.	tyrosine	-100000780	-100001153	-1.CID100000780	-1.CID100001153	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen	manganese	-100000783	-100023930	-1.CID100000783	-1.CID100023930	0	0	0	0	0	0	0.900	0	0	0.900
tetrahydro.in .	serotonine	-100001125	-100005202	-1.CID100001125	-1.CID100005202	0	0	0	0	0	0	0.900	0	0	0.900
carbon dioxide	phenol	-100000280	-100000996	-1.CID100000280	-1.CID100000996	0	0	0	0	0	0	0.900	0	0	0.900
HPD	oxygen	1847151	-100000977	9606.ENSP00000289004	-1.CID100000977	0	0	0	0	0	0	0.900	0	0	0.900
FAH	maleylacetoace.	1844986	-100000122	9606.ENSP00000261755	-1.CID100000122	0	0	0	0	0	0	0.900	0	0	0.900
carbon dioxide	hydrogen	-100000280	-100000783	-1.CID100000280	-1.CID100000783	0	0	0	0	0	0	0.900	0	0	0.900
ALB	bile acids	1847637	-100000303	9606.ENSP00000295897	-1.CID100000303	0	0	0	0	0	0	0.900	0	0	0.900
carbon dioxide	tyrosine	-100000280	-100001153	-1.CID100000280	-1.CID100001153	0	0	0	0	0	0	0.900	0	0	0.900
distilled water	manganese	-100000961	-100023930	-1.CID100000961	-1.CID100023930	0	0	0	0	0	0	0.900	0	0	0.900
GAA	glycogen	1848760	-100439177	9606.ENSP00000305692	-1.CID100439177	0	0	0	0	0	0	0.900	0	0	0.900
carbon dioxide	glutamic acid	-100000280	-100000611	-1.CID100000280	-1.CID100000611	0	0	0	0	0	0	0.900	0	0	0.900
aspartate	glutamic acid	-100000424	-100000611	-1.CID100000424	-1.CID100000611	0	0	0	0.677	0	0	0.900	0	0	0.900
distilled water	tyramine	-100000961	-100005610	-1.CID100000961	-1.CID100005610	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen	ascorbate	-100000783	-111020241	-1.CID100000783	-1.CID111020241	0	0	0	0	0	0	0.900	0	0	0.900
LDLR	hydrogen	1862854	-100000783	9606.ENSP00000454071	-1.CID100000783	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen	copper	-100000783	-100011009	-1.CID100000783	-1.CID100011009	0	0	0	0	0	0	0.900	0	0	0.900
glutamic acid	copper	-100000611	-100011009	-1.CID100000611	-1.CID100011009	0	0	0	0	0	0	0.900	0	0	0.900
histidine	distilled water	-100000773	-100000961	-1.CID100000773	-1.CID100000961	0	0	0	0	0	0	0.900	0	0	0.900
glutamic acid	silver nanopar.	-100000611	-100010474	-1.CID100000611	-1.CID100010474	0	0	0	0	0	0	0.900	0	0	0.900
phenylpyruvate	tryptophan	-100000997	-100001148	-1.CID100000997	-1.CID100001148	0	0	0	0	0	0	0.900	0	0	0.900
reduced glutat.	ascorbate	-100000745	-111020241	-1.CID100000745	-1.CID111020241	0	0	0	0	0	0	0.900	0	0	0.900
glutamic acid	homogentisic a.	-100000611	-100000780	-1.CID100000611	-1.CID100000780	0	0	0	0	0	0	0.900	0	0	0.900
ferulic acid	hydrogen	-100000709	-100000783	-1.CID100000709	-1.CID100000783	0	0	0	0	0	0	0.900	0	0	0.900
FAH	reduced glutat.	1844986	-100000745	9606.ENSP00000261755	-1.CID100000745	0	0	0	0	0	0	0.900	0	0	0.900
carbon dioxide	hydroxyl radic.	-100000280	-100157350	-1.CID100000280	-1.CID100157350	0	0	0	0	0	0	0.900	0	0	0.900
phenol	tyrosine	-100000996	-100001153	-1.CID100000996	-1.CID100001153	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen	hydrogen perox.	-100000783	-100000784	-1.CID100000783	-1.CID100000784	0	0	0	0.500	0	0	0.900	0	0	0.900
tryptophan	manganese	-100001148	-100023930	-1.CID100001148	-1.CID100023930	0	0	0	0	0	0	0.900	0	0	0.900
norepinephrine	distilled water	-100000951	-100000961	-1.CID100000951	-1.CID100000961	0	0	0	0	0	0	0.900	0	0	0.900
distilled water	tyrosine	-100000961	-100001153	-1.CID100000961	-1.CID100001153	0	0	0	0	0	0	0.900	0	0	0.900
creatinine	distilled water	-100000588	-100000961	-1.CID100000588	-1.CID100000961	0	0	0	0	0	0	0.900	0	0	0.900
asparagine	carbon dioxide	-100000236	-100000280	-1.CID100000236	-1.CID100000280	0	0	0	0	0	0	0.900	0	0	0.900
CYP4F3	distilled water	1842824	-100000961	9606.ENSP00000221307	-1.CID100000961	0	0	0	0	0	0	0.900	0	0	0.900
distilled water	tryptophan	-100000961	-100001148	-1.CID100000961	-1.CID100001148	0	0	0	0	0	0	0.900	0	0	0.900
reduced glutat.	distilled water	-100000745	-100000961	-1.CID100000745	-1.CID100000961	0	0	0	0	0	0	0.900	0	0	0.900
CBS	distilled water	1852819	-100000961	9606.ENSP00000344460	-1.CID100000961	0	0	0	0	0	0	0.900	0	0	0.900
bile acids	cholesterol	-100000303	-100000304	-1.CID100000303	-1.CID100000304	0	0	0	0	0	0	0.900	0	0	0.900
carbon dioxide	serotonine	-100000280	-100005202	-1.CID100000280	-1.CID100005202	0	0	0	0	0	0	0.900	0	0	0.900
tetrahydro.in .	tryptophan	-100001125	-100001148	-1.CID100001125	-1.CID100001148	0	0	0	0	0	0	0.900	0	0	0.900
cholesterol	hydrogen	-100000304	-100000783	-1.CID100000304	-1.CID100000783	0	0	0	0	0	0	0.900	0	0	0.900
oxygen	phenol	-100000977	-100000996	-1.CID100000977	-1.CID100000996	0	0	0	0	0	0	0.900	0	0	0.900
hydrogen	vanillylmandel.	-100000783	-100001245	-1.CID100000783	-1.CID100001245	0	0	0	0	0	0	0.900	0	0	0.900
carbon dioxide	uric acid	-100000280	-100001175	-1.CID100000280	-1.CID100001175	0	0	0	0	0	0	0.900	0	0	0.900
calcium ions	hydrogen	-100000271	-100000783	-1.CID100000271	-1.CID100000783	0	0	0	0	0	0	0.900	0	0	0.900
DCXR	hydrogen	1848521	-100000783	9606.ENSP00000303356	-1.CID100000783	0	0	0	0	0	0	0.900	0	0	0.900
TH	tetrahydro.in .	1857346	-100001125	9606.ENSP00000370571	-1.CID100001125	0	0	0	0	0	0	0.900	0	0	0.900
sodium	serotonine	-100000923	-100005202	-1.CID100000923	-1.CID100005202	0	0	0	0	0	0	0.900	0	0	0.900
TAT	homogentisic a.	1853275	-100000780	9606.ENSP00000348234	-1.CID100000780	0	0	0	0	0	0	0.900	0	0	0.900
aspartate	distilled water	-100000424	-100000961	-1.CID100000424	-1.CID100000961	0	0	0	0	0	0	0.900	0	0	0.900
glutamic acid	reduced glutat.	-100000611	-100000745	-1.CID100000611	-1.CID100000745	0	0	0	0	0	0	0.900	0	0	0.900
PAH	oxygen	1862478	-100000977	9606.ENSP00000448059	-1.CID100000977	0	0	0	0	0	0	0.900	0	0	0.900
calcium ions	carbon dioxide	-100000271	-100000280	-1.CID100000271	-1.CID100000280	0	0	0	0	0	0	0.900	0	0	0.900
creatinine	dopamine	-100000588	-100000681	-1.CID100000588	-1.CID100000681	0	0	0	0	0	0	0.900	0	0	0.900
