#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
CLNS1A	PRMT5	1861953	1850120	9606.ENSP00000433919	9606.ENSP00000319169	0	0	0	0	0	0.994	0.900	0	0	0.999
RFC5	RFC1	1860712	1857450	9606.ENSP00000408295	9606.ENSP00000371321	0	0	0	0.638	0	0.999	0.900	0	0	0.999
EGFR	PIK3R1	1846445	1846375	9606.ENSP00000275493	9606.ENSP00000274335	0	0	0	0	0	0.993	0.900	0	0	0.999
RFC3	PCNA	1857148	1856984	9606.ENSP00000369411	9606.ENSP00000368438	0	0	0	0	0	0.999	0.900	0	0	0.999
CTNNB1	PSEN1	1852818	1850825	9606.ENSP00000344456	9606.ENSP00000326366	0	0	0	0	0	0.999	0.900	0	0	0.999
PCNA	FEN1	1856984	1848737	9606.ENSP00000368438	9606.ENSP00000305480	0	0	0	0	0	0.999	0.900	0	0	0.999
EGFR	STAT3	1846445	1845584	9606.ENSP00000275493	9606.ENSP00000264657	0	0	0	0	0	0.999	0.900	0	0	0.999
RFC1	PCNA	1857450	1856984	9606.ENSP00000371321	9606.ENSP00000368438	0	0	0	0	0	0.999	0.900	0	0	0.999
IRS1	PIK3R1	1848682	1846375	9606.ENSP00000304895	9606.ENSP00000274335	0	0	0	0	0	0.999	0.900	0	0	0.999
INSR	PIK3R1	1848574	1846375	9606.ENSP00000303830	9606.ENSP00000274335	0	0	0	0	0	0.992	0.900	0	0	0.999
RFC3	RFC4	1857148	1847705	9606.ENSP00000369411	9606.ENSP00000296273	0	0	0	0.717	0	0.999	0.900	0	0	0.999
RFC5	RFC3	1860712	1857148	9606.ENSP00000408295	9606.ENSP00000369411	0	0	0	0.717	0	0.999	0.900	0	0	0.999
RFC1	RFC3	1857450	1857148	9606.ENSP00000371321	9606.ENSP00000369411	0	0	0	0	0	0.999	0.900	0	0	0.999
PTPN1	INSR	1855520	1848574	9606.ENSP00000360683	9606.ENSP00000303830	0	0	0	0	0	0.999	0.900	0	0	0.999
MAPT	GSK3B	1852372	1850681	9606.ENSP00000340820	9606.ENSP00000324806	0	0	0	0	0	0.999	0.900	0	0	0.999
RFC5	PCNA	1860712	1856984	9606.ENSP00000408295	9606.ENSP00000368438	0	0	0	0	0	0.999	0.900	0	0	0.999
MAP2K7	MAPK8	1858552	1853988	9606.ENSP00000381066	9606.ENSP00000353483	0	0	0	0.627	0	0.997	0.900	0	0	0.999
PTPN1	EGFR	1855520	1846445	9606.ENSP00000360683	9606.ENSP00000275493	0	0	0	0	0	0.990	0.900	0	0	0.999
BCL2	BAX	1851168	1847402	9606.ENSP00000329623	9606.ENSP00000293288	0	0	0	0.686	0	0.999	0.900	0	0	0.999
MTOR	RPTOR	1854147	1848942	9606.ENSP00000354558	9606.ENSP00000307272	0	0	0	0	0	0.999	0.900	0	0	0.999
MAPK8	TP53	1853988	1846083	9606.ENSP00000353483	9606.ENSP00000269305	0	0	0	0	0	0.999	0.900	0	0	0.999
MLST8	RPTOR	1858459	1848942	9606.ENSP00000380313	9606.ENSP00000307272	0	0	0	0	0	0.999	0.900	0	0	0.999
CTNNB1	GSK3B	1852818	1850681	9606.ENSP00000344456	9606.ENSP00000324806	0	0	0	0	0	0.999	0.900	0	0	0.999
CD28	PIK3R1	1850692	1846375	9606.ENSP00000324890	9606.ENSP00000274335	0	0	0	0	0	0.999	0.900	0	0	0.999
NFE2L2	KEAP1	1858451	1842313	9606.ENSP00000380252	9606.ENSP00000171111	0	0	0	0	0	0.999	0.900	0	0	0.999
RFC5	RFC4	1860712	1847705	9606.ENSP00000408295	9606.ENSP00000296273	0	0	0	0.885	0	0.999	0.900	0	0	0.999
MTOR	AKT1	1854147	1846136	9606.ENSP00000354558	9606.ENSP00000270202	0	0	0	0	0	0.999	0.900	0	0	0.999
MAPK8	JUND	1853988	1844164	9606.ENSP00000353483	9606.ENSP00000252818	0	0	0	0	0	0.982	0.900	0	0	0.998
MAPT	STUB1	1852372	1842759	9606.ENSP00000340820	9606.ENSP00000219548	0	0	0	0	0	0.999	0	0	0	0.998
CTNNB1	AXIN2	1852818	1848431	9606.ENSP00000344456	9606.ENSP00000302625	0	0	0	0	0	0.987	0.900	0	0	0.998
SFN	TP53	1852398	1846083	9606.ENSP00000340989	9606.ENSP00000269305	0	0	0	0	0	0.983	0.900	0	0	0.998
BCL2	TP53	1851168	1846083	9606.ENSP00000329623	9606.ENSP00000269305	0	0	0	0	0	0.983	0.900	0	0	0.998
IRS1	IGF1R	1848682	1845984	9606.ENSP00000304895	9606.ENSP00000268035	0	0	0	0	0	0.989	0.900	0	0	0.998
PIK3R1	IGF1R	1846375	1845984	9606.ENSP00000274335	9606.ENSP00000268035	0	0	0	0	0	0.988	0.900	0	0	0.998
TP53	STUB1	1846083	1842759	9606.ENSP00000269305	9606.ENSP00000219548	0	0	0	0	0	0.999	0	0	0	0.998
TP53	MAPK1	1846083	1842512	9606.ENSP00000269305	9606.ENSP00000215832	0	0	0	0	0	0.988	0.800	0	0	0.997
IL12B	IL23A	1843283	1843150	9606.ENSP00000231228	9606.ENSP00000228534	0	0	0	0	0	0.979	0.900	0	0	0.997
MYC	GSK3B	1856789	1850681	9606.ENSP00000367207	9606.ENSP00000324806	0	0	0	0	0	0.967	0.900	0	0	0.996
PIK3R1	PDGFRA	1846375	1844502	9606.ENSP00000274335	9606.ENSP00000257290	0	0	0	0	0	0.963	0.900	0	0	0.996
PSEN1	APP	1850825	1846936	9606.ENSP00000326366	9606.ENSP00000284981	0	0	0	0	0	0.965	0.900	0	0	0.996
HIF1A	TP53	1852062	1846083	9606.ENSP00000338018	9606.ENSP00000269305	0	0	0	0	0	0.963	0.900	0	0	0.996
TNFRSF11B	TNFSF11	1847859	1843537	9606.ENSP00000297350	9606.ENSP00000239849	0	0	0	0	0	0.980	0.800	0	0	0.996
CTNNB1	PIK3R1	1852818	1846375	9606.ENSP00000344456	9606.ENSP00000274335	0	0	0	0	0	0.962	0.900	0	0	0.996
VEGFA	HIF1A	1855611	1852062	9606.ENSP00000361125	9606.ENSP00000338018	0	0	0	0	0	0.961	0.900	0	0	0.995
CTNNB1	EGFR	1852818	1846445	9606.ENSP00000344456	9606.ENSP00000275493	0	0	0	0	0	0.958	0.900	0	0	0.995
ERBB2	STUB1	1846101	1842759	9606.ENSP00000269571	9606.ENSP00000219548	0	0	0	0	0	0.960	0.900	0	0	0.995
SOD1	copper	1846132	-100011009	9606.ENSP00000270142	-1.CID100011009	0	0	0	0	0	0.957	0.900	0	0	0.995
PTCH1	SMO	1851463	1843960	9606.ENSP00000332353	9606.ENSP00000249373	0	0	0	0	0	0.960	0.900	0	0	0.995
CTNNB1	ERBB2	1852818	1846101	9606.ENSP00000344456	9606.ENSP00000269571	0	0	0	0	0	0.942	0.900	0	0	0.994
PTGS2	celecoxib	1854602	-100002662	9606.ENSP00000356438	-1.CID100002662	0	0	0	0	0	0.949	0.900	0	0	0.994
FDPS	zoledronic acid	1853389	-100068740	9606.ENSP00000349078	-1.CID100068740	0	0	0	0	0	0.973	0.800	0	0	0.994
BAX	TP53	1847402	1846083	9606.ENSP00000293288	9606.ENSP00000269305	0	0	0	0	0	0.935	0.900	0	0	0.993
MAPK3	MAPK1	1845265	1842512	9606.ENSP00000263025	9606.ENSP00000215832	0	0	0	0.987	0	0.941	0.900	0	0	0.993
TNFRSF11A	TNFSF11	1863918	1843537	9606.ENSP00000465500	9606.ENSP00000239849	0	0	0	0	0	0.940	0.900	0	0	0.993
XDH	febuxostat	1857027	-100134018	9606.ENSP00000368727	-1.CID100134018	0	0	0	0	0	0.968	0.800	0	0	0.993
APP	TGFB1	1846936	1842869	9606.ENSP00000284981	9606.ENSP00000221930	0	0	0	0	0	0.938	0.900	0	0	0.993
APP	calcium ions	1846936	-100000271	9606.ENSP00000284981	-1.CID100000271	0	0	0	0	0	0.938	0.900	0	0	0.993
RHOA	phosphate	1860210	-100001003	9606.ENSP00000400175	-1.CID100001003	0	0	0	0	0	0.933	0.900	0	0	0.993
NR3C1	NFKB1	1843294	1843094	9606.ENSP00000231509	9606.ENSP00000226574	0	0	0	0	0	0.917	0.900	0	0	0.991
BACE1	APP	1850057	1846936	9606.ENSP00000318585	9606.ENSP00000284981	0	0	0	0	0	0.915	0.900	0	0	0.991
GSK3B	TP53	1850681	1846083	9606.ENSP00000324806	9606.ENSP00000269305	0	0	0	0	0	0.917	0.900	0	0	0.991
PTPN1	IGF1R	1855520	1845984	9606.ENSP00000360683	9606.ENSP00000268035	0	0	0	0	0	0.919	0.900	0	0	0.991
MYC	MAPK1	1856789	1842512	9606.ENSP00000367207	9606.ENSP00000215832	0	0	0	0	0	0.915	0.900	0	0	0.991
MTOR	STAT3	1854147	1845584	9606.ENSP00000354558	9606.ENSP00000264657	0	0	0	0	0	0.917	0.900	0	0	0.991
PTK2	ERBB2	1852426	1846101	9606.ENSP00000341189	9606.ENSP00000269571	0	0	0	0.648	0	0.961	0.800	0	0	0.991
CASP1	IL1B	1860827	1845335	9606.ENSP00000410076	9606.ENSP00000263341	0	0	0	0	0	0.917	0.900	0	0	0.991
ALPP	phosphate	1857973	-100001003	9606.ENSP00000375881	-1.CID100001003	0	0	0	0	0	0.917	0.900	0	0	0.991
BRAF	MAPK3	1847131	1845265	9606.ENSP00000288602	9606.ENSP00000263025	0	0	0	0.632	0	0.904	0.900	0	0	0.990
SLC5A2	dapagliflozin	1850973	-109887712	9606.ENSP00000327943	-1.CID109887712	0	0	0	0	0	0.948	0.800	0	0	0.989
GSTZ1	reduced glutat.	1842600	-100000745	9606.ENSP00000216465	-1.CID100000745	0	0	0	0	0	0.897	0.900	0	0	0.989
AGTR1	candesartan	1846323	-100002541	9606.ENSP00000273430	-1.CID100002541	0	0	0	0	0	0.895	0.900	0	0	0.989
RHOA	MAPK8	1860210	1853988	9606.ENSP00000400175	9606.ENSP00000353483	0	0	0	0	0	0.944	0.800	0	0	0.988
MAPK1	MgADP	1842512	-100000197	9606.ENSP00000215832	-1.CID100000197	0	0	0	0	0	0.866	0.900	0	0	0.986
PTK2B	EGFR	1851525	1846445	9606.ENSP00000332816	9606.ENSP00000275493	0	0	0	0.651	0	0.874	0.900	0	0	0.986
BRAF	MAPK1	1847131	1842512	9606.ENSP00000288602	9606.ENSP00000215832	0	0	0	0.637	0	0.871	0.900	0	0	0.986
PTCH1	SHH	1851463	1847842	9606.ENSP00000332353	9606.ENSP00000297261	0	0	0	0	0	0.857	0.900	0	0	0.985
PROC	calcium ions	1843382	-100000271	9606.ENSP00000234071	-1.CID100000271	0	0	0	0	0	0.859	0.900	0	0	0.985
AOX1	raloxifene	1856168	-100005035	9606.ENSP00000363832	-1.CID100005035	0	0	0	0	0	0.855	0.900	0	0	0.985
GSR	reduced glutat.	1842813	-100000745	9606.ENSP00000221130	-1.CID100000745	0	0	0	0	0	0.851	0.900	0	0	0.984
SOD1	Zn(II	1846132	-100023994	9606.ENSP00000270142	-1.CID100023994	0	0	0	0	0	0.847	0.900	0	0	0.984
SI	glucose	1845536	-100000206	9606.ENSP00000264382	-1.CID100000206	0	0	0	0	0	0.852	0.900	0	0	0.984
TF	Fe(III	1859071	-100023925	9606.ENSP00000385834	-1.CID100023925	0	0	0	0	0	0.843	0.900	0	0	0.983
GSK3B	MgADP	1850681	-100000197	9606.ENSP00000324806	-1.CID100000197	0	0	0	0	0	0.841	0.900	0	0	0.983
SMAD3	MAPK1	1851536	1842512	9606.ENSP00000332973	9606.ENSP00000215832	0	0	0	0	0	0.839	0.900	0	0	0.983
MAPK8	IRS1	1853988	1848682	9606.ENSP00000353483	9606.ENSP00000304895	0	0	0	0	0	0.917	0.800	0	0	0.982
XDH	uric acid	1857027	-100001175	9606.ENSP00000368727	-1.CID100001175	0	0	0	0	0	0.830	0.900	0	0	0.982
PTK2	TP53	1852426	1846083	9606.ENSP00000341189	9606.ENSP00000269305	0	0	0	0	0	0.982	0	0	0	0.982
PTPRF	CTNNB1	1853932	1852818	9606.ENSP00000353030	9606.ENSP00000344456	0	0	0	0	0	0.917	0.800	0	0	0.982
TP53	MAPK3	1846083	1845265	9606.ENSP00000269305	9606.ENSP00000263025	0	0	0	0	0	0.912	0.800	0	0	0.981
PAH	Fe(III	1862478	-100023925	9606.ENSP00000448059	-1.CID100023925	0	0	0	0	0	0.815	0.900	0	0	0.981
MTOR	IRS1	1854147	1848682	9606.ENSP00000354558	9606.ENSP00000304895	0	0	0	0	0	0.820	0.900	0	0	0.981
MC5R	POMC	1850008	1845600	9606.ENSP00000318077	9606.ENSP00000264708	0	0	0	0	0	0.809	0.900	0	0	0.980
INSR	INS	1848574	1844030	9606.ENSP00000303830	9606.ENSP00000250971	0	0	0	0	0	0.812	0.900	0	0	0.980
MC1R	POMC	1862771	1845600	9606.ENSP00000451605	9606.ENSP00000264708	0	0	0	0	0	0.809	0.900	0	0	0.980
PIK3R1	AKT1	1846375	1846136	9606.ENSP00000274335	9606.ENSP00000270202	0	0	0	0	0	0.812	0.900	0	0	0.980
HIF1A	SMAD3	1852062	1851536	9606.ENSP00000338018	9606.ENSP00000332973	0	0	0	0	0	0.812	0.900	0	0	0.980
SMAD3	NR3C1	1851536	1843294	9606.ENSP00000332973	9606.ENSP00000231509	0	0	0	0	0	0.812	0.900	0	0	0.980
LDLR	APOB	1862854	1843345	9606.ENSP00000454071	9606.ENSP00000233242	0	0	0	0	0	0.812	0.900	0	0	0.980
PTK2	PIK3R1	1852426	1846375	9606.ENSP00000341189	9606.ENSP00000274335	0	0	0	0	0	0.809	0.900	0	0	0.980
PTPN1	TRPV6	1855520	1853837	9606.ENSP00000360683	9606.ENSP00000352358	0	0	0	0	0	0.812	0.900	0	0	0.980
MAP2K1	MgATP	1848411	-100000238	9606.ENSP00000302486	-1.CID100000238	0	0	0	0	0	0.800	0.900	0	0	0.979
XDH	phosphate	1857027	-100001003	9606.ENSP00000368727	-1.CID100001003	0	0	0	0	0	0.800	0.900	0	0	0.979
INSR	MgATP	1848574	-100000238	9606.ENSP00000303830	-1.CID100000238	0	0	0	0	0	0.800	0.900	0	0	0.979
COMT	S-adenosylmeth.	1854135	-100001079	9606.ENSP00000354511	-1.CID100001079	0	0	0	0	0	0.800	0.900	0	0	0.979
VWF	calcium ions	1844904	-100000271	9606.ENSP00000261405	-1.CID100000271	0	0	0	0	0	0.800	0.900	0	0	0.979
CDO1	cystein	1844014	-100000594	9606.ENSP00000250535	-1.CID100000594	0	0	0	0	0	0.800	0.900	0	0	0.979
NR3C1	cortisol	1843294	-100003640	9606.ENSP00000231509	-1.CID100003640	0	0	0	0	0	0.800	0.900	0	0	0.979
MMP9	calcium ions	1855661	-100000271	9606.ENSP00000361405	-1.CID100000271	0	0	0	0	0	0.800	0.900	0	0	0.979
APP	acetate	1846936	-100000175	9606.ENSP00000284981	-1.CID100000175	0	0	0	0	0	0.800	0.900	0	0	0.979
APCS	calcium ions	1844350	-100000271	9606.ENSP00000255040	-1.CID100000271	0	0	0	0	0	0.800	0.900	0	0	0.979
MLST8	MgADP	1858459	-100000197	9606.ENSP00000380313	-1.CID100000197	0	0	0	0	0	0.800	0.900	0	0	0.979
MAP2K1	MgADP	1848411	-100000197	9606.ENSP00000302486	-1.CID100000197	0	0	0	0	0	0.800	0.900	0	0	0.979
GSR	GSSG	1842813	-100000975	9606.ENSP00000221130	-1.CID100000975	0	0	0	0	0	0.800	0.900	0	0	0.979
CDO1	Fe(III	1844014	-100023925	9606.ENSP00000250535	-1.CID100023925	0	0	0	0	0	0.800	0.900	0	0	0.979
RPTOR	IRS1	1848942	1848682	9606.ENSP00000307272	9606.ENSP00000304895	0	0	0	0	0	0.802	0.900	0	0	0.979
PTK2	MgADP	1852426	-100000197	9606.ENSP00000341189	-1.CID100000197	0	0	0	0	0	0.800	0.900	0	0	0.979
ALB	phosphate	1847637	-100001003	9606.ENSP00000295897	-1.CID100001003	0	0	0	0	0	0.800	0.900	0	0	0.979
PAH	tetrahydro.in .	1862478	-100001125	9606.ENSP00000448059	-1.CID100001125	0	0	0	0	0	0.800	0.900	0	0	0.979
PTPN1	IRS1	1855520	1848682	9606.ENSP00000360683	9606.ENSP00000304895	0	0	0	0	0	0.808	0.900	0	0	0.979
PTPN1	calcium ions	1855520	-100000271	9606.ENSP00000360683	-1.CID100000271	0	0	0	0	0	0.800	0.900	0	0	0.979
STAT3	MAPK1	1845584	1842512	9606.ENSP00000264657	9606.ENSP00000215832	0	0	0	0	0	0.807	0.900	0	0	0.979
EGFR	phosphate	1846445	-100001003	9606.ENSP00000275493	-1.CID100001003	0	0	0	0	0	0.800	0.900	0	0	0.979
AKT1	manganese	1846136	-100023930	9606.ENSP00000270202	-1.CID100023930	0	0	0	0	0	0.800	0.900	0	0	0.979
PTPN1	phosphate	1855520	-100001003	9606.ENSP00000360683	-1.CID100001003	0	0	0	0	0	0.800	0.900	0	0	0.979
CASP1	IL18	1860827	1846668	9606.ENSP00000410076	9606.ENSP00000280357	0	0	0	0	0	0.808	0.900	0	0	0.979
MAPK8	BCL2	1853988	1851168	9606.ENSP00000353483	9606.ENSP00000329623	0	0	0	0	0	0.808	0.900	0	0	0.979
BCL2	MAPK1	1851168	1842512	9606.ENSP00000329623	9606.ENSP00000215832	0	0	0	0	0	0.807	0.900	0	0	0.979
ACP5	phosphate	1842712	-100001003	9606.ENSP00000218758	-1.CID100001003	0	0	0	0	0	0.800	0.900	0	0	0.979
MTOR	MgADP	1854147	-100000197	9606.ENSP00000354558	-1.CID100000197	0	0	0	0	0	0.800	0.900	0	0	0.979
KIT	MgADP	1847112	-100000197	9606.ENSP00000288135	-1.CID100000197	0	0	0	0	0	0.800	0.900	0	0	0.979
NAMPT	vitamin B	1842925	-100000936	9606.ENSP00000222553	-1.CID100000936	0	0	0	0	0	0.800	0.900	0	0	0.979
TNNI3	calcium ions	1852512	-100000271	9606.ENSP00000341838	-1.CID100000271	0	0	0	0	0	0.800	0.900	0	0	0.979
CRP	calcium ions	1844348	-100000271	9606.ENSP00000255030	-1.CID100000271	0	0	0	0	0	0.800	0.900	0	0	0.979
PTK2	MgATP	1852426	-100000238	9606.ENSP00000341189	-1.CID100000238	0	0	0	0	0	0.800	0.900	0	0	0.979
VIM	calcium ions	1842995	-100000271	9606.ENSP00000224237	-1.CID100000271	0	0	0	0	0	0.800	0.900	0	0	0.979
HMOX1	Fe(III	1842546	-100023925	9606.ENSP00000216117	-1.CID100023925	0	0	0	0	0	0.795	0.900	0	0	0.978
GGH	glutamic acid	1844755	-100000611	9606.ENSP00000260118	-1.CID100000611	0	0	0	0	0	0.787	0.900	0	0	0.978
TH	Fe(III	1857346	-100023925	9606.ENSP00000370571	-1.CID100023925	0	0	0	0	0	0.795	0.900	0	0	0.978
COMT	phosphate	1854135	-100001003	9606.ENSP00000354511	-1.CID100001003	0	0	0	0	0	0.795	0.900	0	0	0.978
HPD	Fe(III	1847151	-100023925	9606.ENSP00000289004	-1.CID100023925	0	0	0	0	0	0.795	0.900	0	0	0.978
INS	Zn(II	1844030	-100023994	9606.ENSP00000250971	-1.CID100023994	0	0	0	0	0	0.794	0.900	0	0	0.978
MAPK1	MgATP	1842512	-100000238	9606.ENSP00000215832	-1.CID100000238	0	0	0	0	0	0.795	0.900	0	0	0.978
ATIC	phosphate	1843445	-100001003	9606.ENSP00000236959	-1.CID100001003	0	0	0	0	0	0.787	0.900	0	0	0.978
ACE2	captopril	1844133	-100002550	9606.ENSP00000252519	-1.CID100002550	0	0	0	0	0	0.790	0.900	0	0	0.978
HMOX1	oxygen	1842546	-100000977	9606.ENSP00000216117	-1.CID100000977	0	0	0	0	0	0.795	0.900	0	0	0.978
GGH	methotrexate	1844755	-100004112	9606.ENSP00000260118	-1.CID100004112	0	0	0	0	0	0.787	0.900	0	0	0.978
EGFR	lapatinib	1846445	-100208908	9606.ENSP00000275493	-1.CID100208908	0	0	0	0	0	0.897	0.800	0	0	0.978
ERBB2	lapatinib	1846101	-100208908	9606.ENSP00000269571	-1.CID100208908	0	0	0	0	0	0.890	0.800	0	0	0.977
CLNS1A	WDR77	1861953	1843416	9606.ENSP00000433919	9606.ENSP00000235090	0	0	0	0	0	0.758	0.900	0	0	0.974
RFC4	MgADP	1847705	-100000197	9606.ENSP00000296273	-1.CID100000197	0	0	0	0	0	0.755	0.900	0	0	0.974
RFC3	MgADP	1857148	-100000197	9606.ENSP00000369411	-1.CID100000197	0	0	0	0	0	0.755	0.900	0	0	0.974
RAC1	PAK6	1853302	1844788	9606.ENSP00000348461	9606.ENSP00000260404	0	0	0	0	0	0.752	0.900	0	0	0.974
RFC5	MgADP	1860712	-100000197	9606.ENSP00000408295	-1.CID100000197	0	0	0	0	0	0.755	0.900	0	0	0.974
RPS6	MgATP	1857216	-100000238	9606.ENSP00000369757	-1.CID100000238	0	0	0	0	0	0.755	0.900	0	0	0.974
PCNA	MgADP	1856984	-100000197	9606.ENSP00000368438	-1.CID100000197	0	0	0	0	0	0.755	0.900	0	0	0.974
FXN	Fe(III	1856650	-100023925	9606.ENSP00000366482	-1.CID100023925	0	0	0	0	0	0.755	0.900	0	0	0.974
PRKACB	phosphate	1855328	-100001003	9606.ENSP00000359719	-1.CID100001003	0	0	0	0	0	0.741	0.900	0	0	0.973
PRKACB	manganese	1855328	-100023930	9606.ENSP00000359719	-1.CID100023930	0	0	0	0	0	0.741	0.900	0	0	0.973
PRKACB	calcium ions	1855328	-100000271	9606.ENSP00000359719	-1.CID100000271	0	0	0	0	0	0.741	0.900	0	0	0.973
PRKACB	MgADP	1855328	-100000197	9606.ENSP00000359719	-1.CID100000197	0	0	0	0	0	0.741	0.900	0	0	0.973
PRKACB	MgATP	1855328	-100000238	9606.ENSP00000359719	-1.CID100000238	0	0	0	0	0	0.741	0.900	0	0	0.973
CDH11	calcium ions	1846023	-100000271	9606.ENSP00000268603	-1.CID100000271	0	0	0	0	0	0.742	0.900	0	0	0.973
MAPK3	MgATP	1845265	-100000238	9606.ENSP00000263025	-1.CID100000238	0	0	0	0	0	0.735	0.900	0	0	0.972
XDH	glycerol	1857027	-100000753	9606.ENSP00000368727	-1.CID100000753	0	0	0	0	0	0.972	0	0	0	0.972
XDH	calcium ions	1857027	-100000271	9606.ENSP00000368727	-1.CID100000271	0	0	0	0	0	0.972	0	0	0	0.972
XDH	allopurinol	1857027	-100002094	9606.ENSP00000368727	-1.CID100002094	0	0	0	0	0	0.732	0.900	0	0	0.972
REN	captopril	1846232	-100002550	9606.ENSP00000272190	-1.CID100002550	0	0	0	0	0	0.731	0.900	0	0	0.972
CREB1	TP53	1859295	1846083	9606.ENSP00000387699	9606.ENSP00000269305	0	0	0	0	0	0.972	0	0	0	0.972
SFN	BRAF	1852398	1847131	9606.ENSP00000340989	9606.ENSP00000288602	0	0	0	0	0	0.712	0.900	0	0	0.970
FDPS	alendronate	1853389	-100002088	9606.ENSP00000349078	-1.CID100002088	0	0	0	0	0	0.851	0.800	0	0	0.969
TPI1	phosphate	1843191	-100001003	9606.ENSP00000229270	-1.CID100001003	0	0	0	0	0	0.704	0.900	0	0	0.969
HAL	distilled water	1844865	-100000961	9606.ENSP00000261208	-1.CID100000961	0	0	0	0	0	0.690	0.900	0	0	0.968
CAT	distilled water	1843587	-100000961	9606.ENSP00000241052	-1.CID100000961	0	0	0	0	0	0.690	0.900	0	0	0.968
CAT	hydrogen perox.	1843587	-100000784	9606.ENSP00000241052	-1.CID100000784	0	0	0	0	0	0.690	0.900	0	0	0.968
UMPS	orotic acid	1843321	-100000967	9606.ENSP00000232607	-1.CID100000967	0	0	0	0	0	0.690	0.900	0	0	0.968
CAT	oxygen	1843587	-100000977	9606.ENSP00000241052	-1.CID100000977	0	0	0	0	0	0.690	0.900	0	0	0.968
SOD1	acetate	1846132	-100000175	9606.ENSP00000270142	-1.CID100000175	0	0	0	0	0	0.847	0.800	0	0	0.968
EGFR	MAPK1	1846445	1842512	9606.ENSP00000275493	9606.ENSP00000215832	0	0	0	0.632	0	0.693	0.900	0	0	0.967
DKK1	CTNNB1	1856024	1852818	9606.ENSP00000363081	9606.ENSP00000344456	0	0	0	0	0	0.685	0.900	0	0	0.967
FDPS	pamidronate	1853389	-100004673	9606.ENSP00000349078	-1.CID100004673	0	0	0	0	0	0.838	0.800	0	0	0.966
TPO	iodide	1850079	-100005238	9606.ENSP00000318820	-1.CID100005238	0	0	0	0	0	0.675	0.900	0	0	0.966
PRKAA2	MgADP	1855444	-100000197	9606.ENSP00000360290	-1.CID100000197	0	0	0	0	0	0.675	0.900	0	0	0.966
PRKAA2	MgATP	1855444	-100000238	9606.ENSP00000360290	-1.CID100000238	0	0	0	0	0	0.675	0.900	0	0	0.966
RIOK1	MgADP	1857106	-100000197	9606.ENSP00000369162	-1.CID100000197	0	0	0	0	0	0.837	0.800	0	0	0.966
PIK3R1	ERBB2	1846375	1846101	9606.ENSP00000274335	9606.ENSP00000269571	0	0	0	0	0	0.967	0	0	0	0.966
PTCH1	GLI1	1851463	1843155	9606.ENSP00000332353	9606.ENSP00000228682	0	0	0	0	0	0.671	0.900	0	0	0.965
